BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,ExterCond,ExterQual,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,HalfBath,HeatingQC,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotFrontage,LotShape,MasVnrType,MiscVal,OverallCond,OverallQual,PavedDrive,PoolQC,SalePrice,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,Remodelled_ago,Sold_ago,Garage_ago,FlrsSF,3SsnPorch1,EnclosedPorch1,MasVnrArea1,OpenPorchSF1,LowQualFinSF1,PoolArea1,ScreenPorch1,WoodDeckSF1,LotArea1,BsmtFinSFtot1,Alley_Grvl,BldgType_1Fam,BldgType_TwnhsE,BsmtFinType1_absent,BsmtFinType1_GLQ,BsmtFinType1_Unf,BsmtFinType1_Rec,BsmtFinType2_absent,Condition1_Feedr,Condition1_PosN,Electrical_SBrkr,Exterior1st_AsbShng,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_VinylSd,Exterior2nd_AsbShng,Exterior2nd_CmentBd,Exterior2nd_ImStucc,Exterior2nd_VinylSd,Fence_absent,Foundation_PConc,Foundation_Slab,Heating_GasA,HouseStyle_2Story,HouseStyle_1Story,HouseStyle_2.5Fin,LotConfig_CulDSac,MSSubClass_60,MSSubClass_120,MSSubClass_20,MSSubClass_30,MSZoning_FV,MSZoning_RL,Neighborhood_Sawyer,Neighborhood_SWISU,Neighborhood_OldTown,Neighborhood_NridgHt,Neighborhood_NoRidge,Neighborhood_NWAmes,Neighborhood_NPkVill,Neighborhood_NAmes,Neighborhood_Mitchel,Neighborhood_MeadowV,Neighborhood_IDOTRR,Neighborhood_Gilbert,Neighborhood_Edwards,Neighborhood_CollgCr,Neighborhood_BrDale,Neighborhood_Blmngtn,RoofMatl_WdShngl,RoofStyle_Hip,SaleCondition_Partial,SaleCondition_Normal,SaleType_New
3,1,1,1,0,4,150.0,1,3,4,0,0,2,7,548.0,2,3,2,3,4,1710.0,1,5,1,1,4,3,2,65.0,3,1,0,5,7,2,0,208500.0,1,8,856.0,1,0,9,0,1710.0,0,0,1,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,1,4,0,1,4,284.0,1,3,3,1,1,2,7,460.0,2,3,2,3,4,1262.0,0,5,2,1,3,3,2,80.0,3,0,0,8,6,2,0,181500.0,1,6,1262.0,1,0,10,0,1262.0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,2,1,0,4,434.0,1,3,4,1,1,2,7,608.0,2,3,2,3,4,1786.0,1,5,3,1,4,3,2,68.0,2,1,0,5,7,2,0,223500.0,1,6,920.0,1,1,9,0,1786.0,0,0,1,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,2,1,1,0,3,540.0,1,3,3,2,1,1,7,642.0,3,3,1,3,2,1717.0,0,4,4,1,4,3,2,60.0,2,0,0,5,7,2,0,140000.0,1,7,756.0,1,55,11,83,1717.0,0,1,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,0,4,490.0,1,3,4,1,1,2,7,836.0,3,3,2,3,4,2198.0,1,5,5,1,4,3,2,84.0,2,1,0,5,8,2,0,250000.0,1,9,1145.0,1,0,9,0,2198.0,0,0,2,3,0,0,0,2,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,4,64.0,1,3,3,0,0,1,7,480.0,2,3,1,3,4,1362.0,1,5,6,1,3,3,2,85.0,2,0,700,5,5,2,0,143000.0,1,5,796.0,1,2,8,0,1362.0,1,0,0,2,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,3,1,0,5,317.0,1,3,4,2,1,2,7,636.0,2,3,2,3,4,1694.0,0,5,7,1,4,3,2,75.0,3,2,0,5,8,2,0,307000.0,1,7,1686.0,1,1,10,0,1694.0,0,0,1,2,0,0,0,2,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,2,1,0,4,216.0,1,3,3,1,2,2,7,484.0,2,3,2,3,4,2090.0,1,5,8,1,3,3,2,68.0,2,2,350,6,7,2,0,200000.0,1,7,1107.0,1,0,8,0,2090.0,0,1,2,4,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,0,0,3,952.0,1,3,3,1,2,2,6,468.0,2,3,1,2,2,1774.0,0,4,9,2,3,3,2,51.0,3,0,0,5,7,2,0,129900.0,1,8,952.0,1,19,9,0,1774.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,3,140.0,1,3,3,1,2,1,7,205.0,1,3,2,4,4,1077.0,0,5,10,2,3,3,2,50.0,3,0,0,6,5,2,0,118000.0,1,5,991.0,1,11,9,0,1077.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
